biotin    	  0.0	   0.5	infant   	female	AI 	    5.000	ug	/day   
biotin    	  0.0	   0.5	infant   	male  	AI 	    5.000	ug	/day   
biotin    	  0.5	   1.0	infant   	female	AI 	    6.000	ug	/day   
biotin    	  0.5	   1.0	infant   	male  	AI 	    6.000	ug	/day   
biotin    	  1.0	   3.0	child    	female	AI 	    8.000	ug	/day   
biotin    	  1.0	   3.0	child    	male  	AI 	    8.000	ug	/day   
biotin    	  4.0	   8.0	child    	female	AI 	   12.000	ug	/day   
biotin    	  4.0	   8.0	child    	male  	AI 	   12.000	ug	/day   
biotin    	  9.0	  13.0	typical  	female	AI 	   20.000	ug	/day   
biotin    	  9.0	  13.0	typical  	male  	AI 	   20.000	ug	/day   
biotin    	 14.0	  18.0	lactating	female	AI 	   35.000	ug	/day   
biotin    	 14.0	  18.0	pregnant 	female	AI 	   30.000	ug	/day   
biotin    	 14.0	  18.0	typical  	female	AI 	   25.000	ug	/day   
biotin    	 14.0	  18.0	typical  	male  	AI 	   25.000	ug	/day   
biotin    	 19.0	  30.0	lactating	female	AI 	   35.000	ug	/day   
biotin    	 19.0	  30.0	pregnant 	female	AI 	   30.000	ug	/day   
biotin    	 19.0	  30.0	typical  	female	AI 	   30.000	ug	/day   
biotin    	 19.0	  30.0	typical  	male  	AI 	   30.000	ug	/day   
biotin    	 31.0	  50.0	lactating	female	AI 	   35.000	ug	/day   
biotin    	 31.0	  50.0	pregnant 	female	AI 	   30.000	ug	/day   
biotin    	 31.0	  50.0	typical  	female	AI 	   30.000	ug	/day   
biotin    	 31.0	  50.0	typical  	male  	AI 	   30.000	ug	/day   
biotin    	 51.0	  70.0	typical  	female	AI 	   30.000	ug	/day   
biotin    	 51.0	  70.0	typical  	male  	AI 	   30.000	ug	/day   
biotin    	 70.0	 120.0	typical  	female	AI 	   30.000	ug	/day   
biotin    	 70.0	 120.0	typical  	male  	AI 	   30.000	ug	/day   
calcium   	  1.0	   3.0	child    	female	EAR	  500.000	mg	/day   
calcium   	  1.0	   3.0	child    	female	RDA	  700.000	mg	/day   
calcium   	  1.0	   3.0	child    	male  	EAR	  500.000	mg	/day   
calcium   	  1.0	   3.0	child    	male  	RDA	  700.000	mg	/day   
calcium   	  4.0	   8.0	child    	female	EAR	  800.000	mg	/day   
calcium   	  4.0	   8.0	child    	female	RDA	 1000.000	mg	/day   
calcium   	  4.0	   8.0	child    	male  	EAR	  800.000	mg	/day   
calcium   	  4.0	   8.0	child    	male  	RDA	 1000.000	mg	/day   
calcium   	  9.0	  13.0	typical  	female	EAR	 1100.000	mg	/day   
calcium   	  9.0	  13.0	typical  	female	RDA	 1300.000	mg	/day   
calcium   	  9.0	  13.0	typical  	male  	EAR	 1100.000	mg	/day   
calcium   	  9.0	  13.0	typical  	male  	RDA	 1300.000	mg	/day   
calcium   	 14.0	  18.0	lactating	female	EAR	 1000.000	mg	/day   
calcium   	 14.0	  18.0	lactating	female	RDA	 1300.000	mg	/day   
calcium   	 14.0	  18.0	pregnant 	female	EAR	 1000.000	mg	/day   
calcium   	 14.0	  18.0	pregnant 	female	RDA	 1300.000	mg	/day   
calcium   	 14.0	  18.0	typical  	female	EAR	 1100.000	mg	/day   
calcium   	 14.0	  18.0	typical  	female	RDA	 1300.000	mg	/day   
calcium   	 14.0	  18.0	typical  	male  	EAR	 1100.000	mg	/day   
calcium   	 14.0	  18.0	typical  	male  	RDA	 1300.000	mg	/day   
calcium   	 19.0	  30.0	lactating	female	EAR	  800.000	mg	/day   
calcium   	 19.0	  30.0	lactating	female	RDA	 1000.000	mg	/day   
calcium   	 19.0	  30.0	pregnant 	female	EAR	  800.000	mg	/day   
calcium   	 19.0	  30.0	pregnant 	female	RDA	 1000.000	mg	/day   
calcium   	 19.0	  30.0	typical  	female	EAR	  800.000	mg	/day   
calcium   	 19.0	  30.0	typical  	female	RDA	 1000.000	mg	/day   
calcium   	 19.0	  30.0	typical  	male  	EAR	  800.000	mg	/day   
calcium   	 19.0	  30.0	typical  	male  	RDA	 1000.000	mg	/day   
calcium   	 31.0	  50.0	lactating	female	EAR	  800.000	mg	/day   
calcium   	 31.0	  50.0	lactating	female	RDA	 1000.000	mg	/day   
calcium   	 31.0	  50.0	pregnant 	female	EAR	  800.000	mg	/day   
calcium   	 31.0	  50.0	pregnant 	female	RDA	 1000.000	mg	/day   
calcium   	 31.0	  50.0	typical  	female	EAR	  800.000	mg	/day   
calcium   	 31.0	  50.0	typical  	female	RDA	 1000.000	mg	/day   
calcium   	 31.0	  50.0	typical  	male  	EAR	  800.000	mg	/day   
calcium   	 31.0	  50.0	typical  	male  	RDA	 1000.000	mg	/day   
calcium   	 51.0	  70.0	typical  	female	EAR	 1000.000	mg	/day   
calcium   	 51.0	  70.0	typical  	female	RDA	 1200.000	mg	/day   
calcium   	 51.0	  70.0	typical  	male  	EAR	  800.000	mg	/day   
calcium   	 51.0	  70.0	typical  	male  	RDA	 1000.000	mg	/day   
calcium   	 70.0	 120.0	typical  	female	EAR	 1000.000	mg	/day   
calcium   	 70.0	 120.0	typical  	female	RDA	 1200.000	mg	/day   
calcium   	 70.0	 120.0	typical  	male  	EAR	 1000.000	mg	/day   
calcium   	 70.0	 120.0	typical  	male  	RDA	 1200.000	mg	/day   
carbohydrate	  1.0	   3.0	child    	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	  1.0	   3.0	child    	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	  1.0	   3.0	child    	female	RDA	  130.000	g 	/day   
carbohydrate	  1.0	   3.0	child    	male  	AMDR-hi	   65.000	pct	Energy 
carbohydrate	  1.0	   3.0	child    	male  	AMDR-lo	   45.000	pct	Energy 
carbohydrate	  1.0	   3.0	child    	male  	RDA	  130.000	g 	/day   
carbohydrate	  4.0	   8.0	child    	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	  4.0	   8.0	child    	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	  4.0	   8.0	child    	female	RDA	  130.000	g 	/day   
carbohydrate	  4.0	   8.0	child    	male  	AMDR-hi	   65.000	pct	Energy 
carbohydrate	  4.0	   8.0	child    	male  	AMDR-lo	   45.000	pct	Energy 
carbohydrate	  4.0	   8.0	child    	male  	RDA	  130.000	g 	/day   
carbohydrate	  9.0	  13.0	typical  	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	  9.0	  13.0	typical  	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	  9.0	  13.0	typical  	female	RDA	  130.000	g 	/day   
carbohydrate	  9.0	  13.0	typical  	male  	AMDR-hi	   65.000	pct	Energy 
carbohydrate	  9.0	  13.0	typical  	male  	AMDR-lo	   45.000	pct	Energy 
carbohydrate	  9.0	  13.0	typical  	male  	RDA	  130.000	g 	/day   
carbohydrate	 14.0	  18.0	lactating	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 14.0	  18.0	lactating	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 14.0	  18.0	lactating	female	RDA	  210.000	g 	/day   
carbohydrate	 14.0	  18.0	pregnant 	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 14.0	  18.0	pregnant 	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 14.0	  18.0	pregnant 	female	RDA	  175.000	g 	/day   
carbohydrate	 14.0	  18.0	typical  	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 14.0	  18.0	typical  	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 14.0	  18.0	typical  	female	RDA	  130.000	g 	/day   
carbohydrate	 14.0	  18.0	typical  	male  	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 14.0	  18.0	typical  	male  	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 14.0	  18.0	typical  	male  	RDA	  130.000	g 	/day   
carbohydrate	 19.0	  30.0	lactating	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 19.0	  30.0	lactating	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 19.0	  30.0	lactating	female	RDA	  210.000	g 	/day   
carbohydrate	 19.0	  30.0	pregnant 	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 19.0	  30.0	pregnant 	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 19.0	  30.0	pregnant 	female	RDA	  175.000	g 	/day   
carbohydrate	 19.0	  30.0	typical  	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 19.0	  30.0	typical  	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 19.0	  30.0	typical  	female	RDA	  130.000	g 	/day   
carbohydrate	 19.0	  30.0	typical  	male  	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 19.0	  30.0	typical  	male  	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 19.0	  30.0	typical  	male  	RDA	  130.000	g 	/day   
carbohydrate	 31.0	  50.0	lactating	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 31.0	  50.0	lactating	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 31.0	  50.0	lactating	female	RDA	  210.000	g 	/day   
carbohydrate	 31.0	  50.0	typical  	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 31.0	  50.0	typical  	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 31.0	  50.0	typical  	female	RDA	  130.000	g 	/day   
carbohydrate	 31.0	  50.0	typical  	male  	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 31.0	  50.0	typical  	male  	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 31.0	  50.0	typical  	male  	RDA	  130.000	g 	/day   
carbohydrate	 51.0	  70.0	typical  	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 51.0	  70.0	typical  	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 51.0	  70.0	typical  	female	RDA	  130.000	g 	/day   
carbohydrate	 51.0	  70.0	typical  	male  	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 51.0	  70.0	typical  	male  	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 51.0	  70.0	typical  	male  	RDA	  130.000	g 	/day   
carbohydrate	 61.0	  50.0	pregnant 	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 61.0	  50.0	pregnant 	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 61.0	  50.0	pregnant 	female	RDA	  175.000	g 	/day   
carbohydrate	 70.0	 120.0	typical  	female	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 70.0	 120.0	typical  	female	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 70.0	 120.0	typical  	female	RDA	  130.000	g 	/day   
carbohydrate	 70.0	 120.0	typical  	male  	AMDR-hi	   65.000	pct	Energy 
carbohydrate	 70.0	 120.0	typical  	male  	AMDR-lo	   45.000	pct	Energy 
carbohydrate	 70.0	 120.0	typical  	male  	RDA	  130.000	g 	/day   
chloride  	  0.0	   0.5	infant   	female	AI 	    0.180	g 	/day   
chloride  	  0.0	   0.5	infant   	male  	AI 	    0.180	g 	/day   
chloride  	  0.5	   1.0	infant   	female	AI 	    0.570	g 	/day   
chloride  	  0.5	   1.0	infant   	male  	AI 	    0.570	g 	/day   
chloride  	  1.0	   3.0	child    	female	AI 	    1.500	g 	/day   
chloride  	  1.0	   3.0	child    	male  	AI 	    1.500	g 	/day   
chloride  	  4.0	   8.0	child    	female	AI 	    1.900	g 	/day   
chloride  	  4.0	   8.0	child    	male  	AI 	    1.900	g 	/day   
chloride  	  9.0	  13.0	typical  	female	AI 	    2.300	g 	/day   
chloride  	  9.0	  13.0	typical  	male  	AI 	    2.300	g 	/day   
chloride  	 14.0	  18.0	lactating	female	AI 	    2.300	g 	/day   
chloride  	 14.0	  18.0	pregnant 	female	AI 	    2.300	g 	/day   
chloride  	 14.0	  18.0	typical  	female	AI 	    2.300	g 	/day   
chloride  	 14.0	  18.0	typical  	male  	AI 	    2.300	g 	/day   
chloride  	 19.0	  30.0	lactating	female	AI 	    2.300	g 	/day   
chloride  	 19.0	  30.0	pregnant 	female	AI 	    2.300	g 	/day   
chloride  	 19.0	  30.0	typical  	female	AI 	    2.300	g 	/day   
chloride  	 19.0	  30.0	typical  	male  	AI 	    2.300	g 	/day   
chloride  	 31.0	  50.0	lactating	female	AI 	    2.300	g 	/day   
chloride  	 31.0	  50.0	pregnant 	female	AI 	    2.300	g 	/day   
chloride  	 31.0	  50.0	typical  	female	AI 	    2.300	g 	/day   
chloride  	 31.0	  50.0	typical  	male  	AI 	    2.300	g 	/day   
chloride  	 51.0	  70.0	typical  	female	AI 	    2.000	g 	/day   
chloride  	 51.0	  70.0	typical  	male  	AI 	    2.000	g 	/day   
chloride  	 70.0	 120.0	typical  	female	AI 	    1.800	g 	/day   
chloride  	 70.0	 120.0	typical  	male  	AI 	    1.800	g 	/day   
cho       	  1.0	   3.0	child    	female	EAR	  100.000	g 	/day   
cho       	  1.0	   3.0	child    	male  	EAR	  100.000	g 	/day   
cho       	  4.0	   8.0	child    	female	EAR	  100.000	g 	/day   
cho       	  4.0	   8.0	child    	male  	EAR	  100.000	g 	/day   
cho       	  9.0	  13.0	typical  	female	EAR	  100.000	g 	/day   
cho       	  9.0	  13.0	typical  	male  	EAR	  100.000	g 	/day   
cho       	 14.0	  18.0	lactating	female	EAR	  160.000	g 	/day   
cho       	 14.0	  18.0	pregnant 	female	EAR	  135.000	g 	/day   
cho       	 14.0	  18.0	typical  	female	EAR	  100.000	g 	/day   
cho       	 14.0	  18.0	typical  	male  	EAR	  100.000	g 	/day   
cho       	 19.0	  30.0	lactating	female	EAR	  160.000	g 	/day   
cho       	 19.0	  30.0	pregnant 	female	EAR	  135.000	g 	/day   
cho       	 19.0	  30.0	typical  	female	EAR	  100.000	g 	/day   
cho       	 19.0	  30.0	typical  	male  	EAR	  100.000	g 	/day   
cho       	 31.0	  50.0	lactating	female	EAR	  160.000	g 	/day   
cho       	 31.0	  50.0	pregnant 	female	EAR	  135.000	g 	/day   
cho       	 31.0	  50.0	typical  	female	EAR	  100.000	g 	/day   
cho       	 31.0	  50.0	typical  	male  	EAR	  100.000	g 	/day   
cho       	 51.0	  70.0	typical  	female	EAR	  100.000	g 	/day   
cho       	 51.0	  70.0	typical  	male  	EAR	  100.000	g 	/day   
cho       	 70.0	 120.0	typical  	female	EAR	  100.000	g 	/day   
cho       	 70.0	 120.0	typical  	male  	EAR	  100.000	g 	/day   
cholesterol	  1.0	   3.0	child    	female	AMDR	         	pct	Energy 
cholesterol	  1.0	   3.0	child    	female	LU 	    0.000	pct	Energy 
cholesterol	  1.0	   3.0	child    	male  	AMDR	         	pct	Energy 
cholesterol	  1.0	   3.0	child    	male  	LU 	    0.000	pct	Energy 
cholesterol	  4.0	   8.0	child    	female	AMDR	         	pct	Energy 
cholesterol	  4.0	   8.0	child    	female	LU 	    0.000	pct	Energy 
cholesterol	  4.0	   8.0	child    	male  	AMDR	         	pct	Energy 
cholesterol	  4.0	   8.0	child    	male  	LU 	    0.000	pct	Energy 
cholesterol	  9.0	  13.0	typical  	female	AMDR	         	pct	Energy 
cholesterol	  9.0	  13.0	typical  	female	LU 	    0.000	pct	Energy 
cholesterol	  9.0	  13.0	typical  	male  	AMDR	         	pct	Energy 
cholesterol	  9.0	  13.0	typical  	male  	LU 	    0.000	pct	Energy 
cholesterol	 14.0	  18.0	lactating	female	AMDR	         	pct	Energy 
cholesterol	 14.0	  18.0	lactating	female	LU 	    0.000	pct	Energy 
cholesterol	 14.0	  18.0	pregnant 	female	AMDR	         	pct	Energy 
cholesterol	 14.0	  18.0	pregnant 	female	LU 	    0.000	pct	Energy 
cholesterol	 14.0	  18.0	typical  	female	AMDR	         	pct	Energy 
cholesterol	 14.0	  18.0	typical  	female	LU 	    0.000	pct	Energy 
cholesterol	 14.0	  18.0	typical  	male  	AMDR	         	pct	Energy 
cholesterol	 14.0	  18.0	typical  	male  	LU 	    0.000	pct	Energy 
cholesterol	 19.0	  30.0	lactating	female	AMDR	         	pct	Energy 
cholesterol	 19.0	  30.0	lactating	female	LU 	    0.000	pct	Energy 
cholesterol	 19.0	  30.0	pregnant 	female	AMDR	         	pct	Energy 
cholesterol	 19.0	  30.0	pregnant 	female	LU 	    0.000	pct	Energy 
cholesterol	 19.0	  30.0	typical  	female	AMDR	         	pct	Energy 
cholesterol	 19.0	  30.0	typical  	female	LU 	    0.000	pct	Energy 
cholesterol	 19.0	  30.0	typical  	male  	AMDR	         	pct	Energy 
cholesterol	 19.0	  30.0	typical  	male  	LU 	    0.000	pct	Energy 
cholesterol	 31.0	  50.0	lactating	female	AMDR	         	pct	Energy 
cholesterol	 31.0	  50.0	lactating	female	LU 	    0.000	pct	Energy 
cholesterol	 31.0	  50.0	typical  	female	AMDR	         	pct	Energy 
cholesterol	 31.0	  50.0	typical  	female	LU 	    0.000	pct	Energy 
cholesterol	 31.0	  50.0	typical  	male  	AMDR	         	pct	Energy 
cholesterol	 31.0	  50.0	typical  	male  	LU 	    0.000	pct	Energy 
cholesterol	 51.0	  70.0	typical  	female	AMDR	         	pct	Energy 
cholesterol	 51.0	  70.0	typical  	female	LU 	    0.000	pct	Energy 
cholesterol	 51.0	  70.0	typical  	male  	AMDR	         	pct	Energy 
cholesterol	 51.0	  70.0	typical  	male  	LU 	    0.000	pct	Energy 
cholesterol	 61.0	  50.0	pregnant 	female	AMDR	         	pct	Energy 
cholesterol	 61.0	  50.0	pregnant 	female	LU 	    0.000	pct	Energy 
cholesterol	 70.0	 120.0	typical  	female	AMDR	         	pct	Energy 
cholesterol	 70.0	 120.0	typical  	female	LU 	    0.000	pct	Energy 
cholesterol	 70.0	 120.0	typical  	male  	AMDR	         	pct	Energy 
cholesterol	 70.0	 120.0	typical  	male  	LU 	    0.000	pct	Energy 
choline   	  0.0	   0.5	infant   	female	AI 	  125.000	mg	/day   
choline   	  0.0	   0.5	infant   	male  	AI 	  125.000	mg	/day   
choline   	  0.5	   1.0	infant   	female	AI 	  150.000	mg	/day   
choline   	  0.5	   1.0	infant   	male  	AI 	  150.000	mg	/day   
choline   	  1.0	   3.0	child    	female	AI 	  200.000	mg	/day   
choline   	  1.0	   3.0	child    	male  	AI 	  200.000	mg	/day   
choline   	  4.0	   8.0	child    	female	AI 	  250.000	mg	/day   
choline   	  4.0	   8.0	child    	male  	AI 	  250.000	mg	/day   
choline   	  9.0	  13.0	typical  	female	AI 	  375.000	mg	/day   
choline   	  9.0	  13.0	typical  	male  	AI 	  375.000	mg	/day   
choline   	 14.0	  18.0	lactating	female	AI 	  550.000	mg	/day   
choline   	 14.0	  18.0	pregnant 	female	AI 	  450.000	mg	/day   
choline   	 14.0	  18.0	typical  	female	AI 	  400.000	mg	/day   
choline   	 14.0	  18.0	typical  	male  	AI 	  550.000	mg	/day   
choline   	 19.0	  30.0	lactating	female	AI 	  550.000	mg	/day   
choline   	 19.0	  30.0	pregnant 	female	AI 	  450.000	mg	/day   
choline   	 19.0	  30.0	typical  	female	AI 	  425.000	mg	/day   
choline   	 19.0	  30.0	typical  	male  	AI 	  550.000	mg	/day   
choline   	 31.0	  50.0	lactating	female	AI 	  550.000	mg	/day   
choline   	 31.0	  50.0	pregnant 	female	AI 	  450.000	mg	/day   
choline   	 31.0	  50.0	typical  	female	AI 	  425.000	mg	/day   
choline   	 31.0	  50.0	typical  	male  	AI 	  550.000	mg	/day   
choline   	 51.0	  70.0	typical  	female	AI 	  425.000	mg	/day   
choline   	 51.0	  70.0	typical  	male  	AI 	  550.000	mg	/day   
choline   	 70.0	 120.0	typical  	female	AI 	  425.000	mg	/day   
choline   	 70.0	 120.0	typical  	male  	AI 	  550.000	mg	/day   
chromium  	  0.0	   0.5	infant   	female	AI 	    0.200	ug	/day   
chromium  	  0.0	   0.5	infant   	male  	AI 	    0.200	ug	/day   
chromium  	  0.5	   1.0	infant   	female	AI 	    5.500	ug	/day   
chromium  	  0.5	   1.0	infant   	male  	AI 	    5.500	ug	/day   
chromium  	  1.0	   3.0	child    	female	AI 	   11.000	ug	/day   
chromium  	  1.0	   3.0	child    	male  	AI 	   11.000	ug	/day   
chromium  	  4.0	   8.0	child    	female	AI 	   15.000	ug	/day   
chromium  	  4.0	   8.0	child    	male  	AI 	   15.000	ug	/day   
chromium  	  9.0	  13.0	typical  	female	AI 	   21.000	ug	/day   
chromium  	  9.0	  13.0	typical  	male  	AI 	   25.000	ug	/day   
chromium  	 14.0	  18.0	lactating	female	AI 	   44.000	ug	/day   
chromium  	 14.0	  18.0	pregnant 	female	AI 	   29.000	ug	/day   
chromium  	 14.0	  18.0	typical  	female	AI 	   24.000	ug	/day   
chromium  	 14.0	  18.0	typical  	male  	AI 	   35.000	ug	/day   
chromium  	 19.0	  30.0	lactating	female	AI 	   45.000	ug	/day   
chromium  	 19.0	  30.0	pregnant 	female	AI 	   30.000	ug	/day   
chromium  	 19.0	  30.0	typical  	female	AI 	   25.000	ug	/day   
chromium  	 19.0	  30.0	typical  	male  	AI 	   35.000	ug	/day   
chromium  	 31.0	  50.0	lactating	female	AI 	   45.000	ug	/day   
chromium  	 31.0	  50.0	pregnant 	female	AI 	   30.000	ug	/day   
chromium  	 31.0	  50.0	typical  	female	AI 	   25.000	ug	/day   
chromium  	 31.0	  50.0	typical  	male  	AI 	   35.000	ug	/day   
chromium  	 51.0	  70.0	typical  	female	AI 	   20.000	ug	/day   
chromium  	 51.0	  70.0	typical  	male  	AI 	   30.000	ug	/day   
chromium  	 70.0	 120.0	typical  	female	AI 	   20.000	ug	/day   
chromium  	 70.0	 120.0	typical  	male  	AI 	   30.000	ug	/day   
copper    	  1.0	   3.0	child    	female	EAR	  260.000	ug	/day   
copper    	  1.0	   3.0	child    	female	RDA	  340.000	ug	/day   
copper    	  1.0	   3.0	child    	male  	EAR	  260.000	ug	/day   
copper    	  1.0	   3.0	child    	male  	RDA	  340.000	ug	/day   
copper    	  4.0	   8.0	child    	female	EAR	  340.000	ug	/day   
copper    	  4.0	   8.0	child    	female	RDA	  440.000	ug	/day   
copper    	  4.0	   8.0	child    	male  	EAR	  340.000	ug	/day   
copper    	  4.0	   8.0	child    	male  	RDA	  440.000	ug	/day   
copper    	  9.0	  13.0	typical  	female	EAR	  540.000	ug	/day   
copper    	  9.0	  13.0	typical  	female	RDA	  700.000	ug	/day   
copper    	  9.0	  13.0	typical  	male  	EAR	  540.000	ug	/day   
copper    	  9.0	  13.0	typical  	male  	RDA	  700.000	ug	/day   
copper    	 14.0	  18.0	lactating	female	EAR	  985.000	ug	/day   
copper    	 14.0	  18.0	lactating	female	RDA	 1300.000	ug	/day   
copper    	 14.0	  18.0	pregnant 	female	EAR	  785.000	ug	/day   
copper    	 14.0	  18.0	pregnant 	female	RDA	 1000.000	ug	/day   
copper    	 14.0	  18.0	typical  	female	EAR	  685.000	ug	/day   
copper    	 14.0	  18.0	typical  	female	RDA	  890.000	ug	/day   
copper    	 14.0	  18.0	typical  	male  	EAR	  685.000	ug	/day   
